value,unit,metric_type,sector,context,source_page,source_paragraph,confidence,year,extraction_method,validation_issues,company,source_pdf,extraction_date
10.1787,number,ai_implementation_count,unknown,1787 be745f04-en.,3,5,0.44799999999999995,2024,pattern_matching,['Missing required context keywords'],,oecd-artificial-intelligence-review-2025.pdf,2025-07-24T17:20:38.462349
1787.0,number,ai_implementation_count,unknown,1787 be745f04-en.,3,5,0.44799999999999995,2024,pattern_matching,['Missing required context keywords'],,oecd-artificial-intelligence-review-2025.pdf,2025-07-24T17:20:38.462354
745.0,number,ai_implementation_count,unknown,1787 be745f04-en.,3,5,0.44799999999999995,2024,pattern_matching,['Missing required context keywords'],,oecd-artificial-intelligence-review-2025.pdf,2025-07-24T17:20:38.462355
978.0,number,ai_implementation_count,unknown,ISBN 978-92-64-53190-1 (print) ISBN 978-92-64-89309-2 (PDF) ISBN 978-92-64-83602-0 (HTML),3,6,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],,oecd-artificial-intelligence-review-2025.pdf,2025-07-24T17:20:38.462356
92.0,number,ai_implementation_count,unknown,ISBN 978-92-64-53190-1 (print) ISBN 978-92-64-89309-2 (PDF) ISBN 978-92-64-83602-0 (HTML),3,6,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],,oecd-artificial-intelligence-review-2025.pdf,2025-07-24T17:20:38.462357
64.0,number,ai_implementation_count,unknown,ISBN 978-92-64-53190-1 (print) ISBN 978-92-64-89309-2 (PDF) ISBN 978-92-64-83602-0 (HTML),3,6,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],,oecd-artificial-intelligence-review-2025.pdf,2025-07-24T17:20:38.462358
53190.0,number,ai_implementation_count,unknown,ISBN 978-92-64-53190-1 (print) ISBN 978-92-64-89309-2 (PDF) ISBN 978-92-64-83602-0 (HTML),3,6,0.39199999999999996,2024,pattern_matching,"['Value 53190.0 outside typical range [0, 10000]', 'Missing required context keywords']",,oecd-artificial-intelligence-review-2025.pdf,2025-07-24T17:20:38.462358
89309.0,number,ai_implementation_count,unknown,ISBN 978-92-64-53190-1 (print) ISBN 978-92-64-89309-2 (PDF) ISBN 978-92-64-83602-0 (HTML),3,6,0.39199999999999996,2024,pattern_matching,"['Value 89309.0 outside typical range [0, 10000]', 'Missing required context keywords']",,oecd-artificial-intelligence-review-2025.pdf,2025-07-24T17:20:38.462359
83602.0,number,ai_implementation_count,unknown,ISBN 978-92-64-53190-1 (print) ISBN 978-92-64-89309-2 (PDF) ISBN 978-92-64-83602-0 (HTML),3,6,0.39199999999999996,2024,pattern_matching,"['Value 83602.0 outside typical range [0, 10000]', 'Missing required context keywords']",,oecd-artificial-intelligence-review-2025.pdf,2025-07-24T17:20:38.462361
0.0,number,ai_implementation_count,unknown,ISBN 978-92-64-53190-1 (print) ISBN 978-92-64-89309-2 (PDF) ISBN 978-92-64-83602-0 (HTML),3,6,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],,oecd-artificial-intelligence-review-2025.pdf,2025-07-24T17:20:38.462361
