value,unit,metric_type,sector,context,source_page,source_paragraph,confidence,year,extraction_method,validation_issues,company,source_pdf,extraction_date
15.0,number,ai_implementation_count,unknown,AI strategy and experience 15,2,6,0.44799999999999995,2024,pattern_matching,['Missing required context keywords'],,AI strategy.pdf,2025-07-24T17:20:01.209967
17.0,number,ai_implementation_count,unknown,Organization and culture 17,2,7,0.44799999999999995,2024,pattern_matching,['Missing required context keywords'],Organization,AI strategy.pdf,2025-07-24T17:20:01.209971
1956.0,number,ai_implementation_count,unknown,"1 The unprecedented pace of innovation, along with the ac",3,1,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],,AI strategy.pdf,2025-07-24T17:20:01.209972
1.0,number,ai_implementation_count,unknown,"1 The unprecedented pace of innovation, along with the accessibility of ChatGPT and other generative AI tools, has galvanized virtually every organizat",3,1,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],,AI strategy.pdf,2025-07-24T17:20:01.209973
3.0,number,ai_implementation_count,unknown,Conclusion Part 3 Part 2 Part 1 Introduction Executive summary 5,4,12,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],Conclusion Part,AI strategy.pdf,2025-07-24T17:20:01.209974
5.0,number,ai_implementation_count,unknown,Conclusion Part 3 Part 2 Part 1 Introduction Executive summary 5,4,12,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],Conclusion Part,AI strategy.pdf,2025-07-24T17:20:01.209975
300.0,number,ai_implementation_count,unknown,"Research study from 1,300",5,0,0.44799999999999995,2024,pattern_matching,['Missing required context keywords'],Research,AI strategy.pdf,2025-07-24T17:20:01.209976
1.0,number,ai_implementation_count,information_communication_technology,"udy to better understand these drivers and their impact on AI readiness, including qualitative data from experts and quantitative data from more than 1,300 information technology and business leaders across a range of industries and regions.",5,2,0.6854736842105263,2024,pattern_matching,['Missing required context keywords'],,AI strategy.pdf,2025-07-24T17:20:01.209976
300.0,number,ai_implementation_count,information_communication_technology,"y to better understand these drivers and their impact on AI readiness, including qualitative data from experts and quantitative data from more than 1,300 information technology and business leaders across a range of industries and regions.",5,2,0.6854736842105263,2024,pattern_matching,['Missing required context keywords'],,AI strategy.pdf,2025-07-24T17:20:01.209977
2.0,number,ai_patents_filed,information_communication_technology,2 IPSOS then used the survey data to build a predictive model to help leaders focus on the highest-value actions they can take to realize value with AI,5,2,0.7789473684210526,2024,pattern_matching,[],,AI strategy.pdf,2025-07-24T17:20:01.209978
6.0,number,ai_implementation_count,unknown,Conclusion Part 3 Part 2 Part 1 Introduction Executive summary 6,5,4,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],Conclusion Part,AI strategy.pdf,2025-07-24T17:20:01.209979
20.0,percentage,rd_investment,unknown,"dvanced AI readiness stage report a focus on use cases such as expanding their product and service portfolio and accelerating innovation, compared to 20% in the earliest stage.",6,4,0.7,2024,pattern_matching,[],,AI strategy.pdf,2025-07-24T17:20:01.209980
20.0,number,ai_implementation_count,unknown,"dvanced AI readiness stage report a focus on use cases such as expanding their product and service portfolio and accelerating innovation, compared to 20% in the earliest stage.",6,4,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],,AI strategy.pdf,2025-07-24T17:20:01.209980
34.0,percentage,ai_adoption_rate,professional_services,"While 34% initially placed their organizations at the highest two stages of AI readiness, only 28% still did so after answering all questions, suggesting that",6,6,0.6080000000000001,2024,pattern_matching,['Missing required context keywords'],While,AI strategy.pdf,2025-07-24T17:20:01.209981
34.0,count,ai_implementation_count,professional_services,"While 34% initially placed their organizations at the highest two stages of AI readiness, only 28% still did so after answering all questions, suggesting that",6,6,0.6080000000000001,2024,pattern_matching,['Missing required context keywords'],While,AI strategy.pdf,2025-07-24T17:20:01.209982
28.0,percentage,ai_adoption_rate,professional_services,"While 34% initially placed their organizations at the highest two stages of AI readiness, only 28% still did so after answering all questions, suggesting that the survey raised points they may not have initially considered.",6,6,0.6688000000000002,2024,pattern_matching,['Missing required context keywords'],While,AI strategy.pdf,2025-07-24T17:20:01.209983
28.0,count,ai_implementation_count,professional_services,"While 34% initially placed their organizations at the highest two stages of AI readiness, only 28% still did so after answering all questions, suggesting that the survey raised points they may not have initially considered.",6,6,0.6688000000000002,2024,pattern_matching,['Missing required context keywords'],While,AI strategy.pdf,2025-07-24T17:20:01.209983
3.0,number,ai_implementation_count,professional_services,3 The model yielded an even more conservative view: Only 25% fell into the highest two stages of AI readiness nine percentage points lower than their i,6,6,0.6080000000000001,2024,pattern_matching,['Missing required context keywords'],Only,AI strategy.pdf,2025-07-24T17:20:01.209984
25.0,percentage,ai_adoption_rate,professional_services,3 The model yielded an even more conservative view: Only 25% fell into the highest two stages of AI readiness nine percentage points lower than their initial assessment.,6,6,0.6080000000000001,2024,pattern_matching,['Missing required context keywords'],Only,AI strategy.pdf,2025-07-24T17:20:01.209985
25.0,number,ai_implementation_count,professional_services,3 The model yielded an even more conservative view: Only 25% fell into the highest two stages of AI readiness nine percentage points lower than their initial assessment.,6,6,0.6080000000000001,2024,pattern_matching,['Missing required context keywords'],Only,AI strategy.pdf,2025-07-24T17:20:01.209986
7.0,number,ai_implementation_count,unknown,Conclusion Part 3 Part 2 Part 1 Introduction Executive summary 7,6,11,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],Conclusion Part,AI strategy.pdf,2025-07-24T17:20:01.209987
9.0,number,ai_implementation_count,unknown,Conclusion Part 3 Part 2 Introduction Part 1 Understanding the factors that drive AI readiness 9,8,3,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],Conclusion Part,AI strategy.pdf,2025-07-24T17:20:01.209988
2.0,count,ai_implementation_count,professional_services,"For example, organizations in the  exploring  stage should begin by making sure that their",9,3,0.6080000000000001,2024,pattern_matching,['Missing required context keywords'],,AI strategy.pdf,2025-07-24T17:20:01.209989
11.0,number,ai_implementation_count,unknown,Conclusion Part 3 Part 2 Introduction Part 1 Driver 1: Business strategy 11,10,1,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],Conclusion Part,AI strategy.pdf,2025-07-24T17:20:01.209990
3.0,percentage,ai_adoption_rate,professional_services,"Figure 3 shows the percentage of organizations that report that they are seeing value at each stage of AI readiness, from 3% at the earliest  exploring  stage to 96% at the most advanced  realizing  stage.",11,1,0.6688000000000002,2024,pattern_matching,['Missing required context keywords'],Figure,AI strategy.pdf,2025-07-24T17:20:01.209990
3.0,count,ai_implementation_count,professional_services,"Figure 3 shows the percentage of organizations that report that they are seeing value at each stage of AI readiness, from 3% at the earliest  exploring  stage to 96% at the most advanced  realizing  stage.",11,1,0.6688000000000002,2024,pattern_matching,['Missing required context keywords'],Figure,AI strategy.pdf,2025-07-24T17:20:01.209991
96.0,percentage,ai_adoption_rate,professional_services,"ws the percentage of organizations that report that they are seeing value at each stage of AI readiness, from 3% at the earliest  exploring  stage to 96% at the most advanced  realizing  stage.",11,1,0.4864000000000001,2024,pattern_matching,"['Missing required context keywords', 'Outlier compared to other adoption rates']",,AI strategy.pdf,2025-07-24T17:20:01.209992
96.0,count,ai_implementation_count,professional_services,"ws the percentage of organizations that report that they are seeing value at each stage of AI readiness, from 3% at the earliest  exploring  stage to 96% at the most advanced  realizing  stage.",11,1,0.6080000000000001,2024,pattern_matching,['Missing required context keywords'],,AI strategy.pdf,2025-07-24T17:20:01.209992
