original_id,value,unit,year,current_metric_type,new_metric_type,context_preview,sector,country,company_size,reason,confidence
0,26.08,percentage,2024,general_rate,growth_metric,"experiments and 4,867 de- velopers, our analysis reveals a 26.08% increase (se: 10.3%) in completed ...",,,,Reclassify based on context: growth_metric,0.8
1,10.3,percentage,2024,general_rate,growth_metric,"7 de- velopers, our analysis reveals a 26.08% increase (se: 10.3%) in completed tasks among develope...",,,,Reclassify based on context: growth_metric,0.8
2,80.0,percentage,2024,general_rate,employment_metric,"that generative ai can per- form tasks associated with over 80% of u.s. jobs, with particularly high...",,,,Reclassify based on context: employment_metric,0.8
3,13.55,percentage,2024,general_rate,growth_metric,"y interest, our results support this interpretation, with a 13.55% (se: 10.0%) increase in the numbe...",,,,Reclassify based on context: growth_metric,0.8
4,38.38,percentage,2024,general_rate,growth_metric,.0%) increase in the number of code updates (commits) and a 38.38% (se: 12.55%) increase in the numb...,,,,Reclassify based on context: growth_metric,0.8
5,12.0,percentage,2024,general_rate,growth_metric,ic the day-to-day work at a consulting company increased by 12%–25%. evidence from these experiments...,,,,Reclassify based on context: growth_metric,0.8
12,42.5,percentage,2023,general_rate,growth_metric,2023. these additional emails increased the take-up rate to 42.5% within two weeks. as discussed bef...,,,,Reclassify based on context: growth_metric,0.8
14,69.4,percentage,2024,general_rate,adoption_metric,"group. by april 2024, the treated group’s adoption rate was 69.4%, while the control group’s adoptio...",,,,Reclassify based on context: adoption_metric,0.8
15,100.0,percentage,2024,general_rate,adoption_metric,"nts. despite this, the adoption rate is significantly below 100% in all three experiments, with arou...",,,,Reclassify based on context: adoption_metric,0.8
16,21.34,percentage,2024,general_rate,growth_metric,"the number of pull requests made by developers increases by 21.34% (se: 9.92%), the number of commit...",,,,Reclassify based on context: growth_metric,0.8
17,15.39,percentage,2024,general_rate,growth_metric,"s by 21.34% (se: 9.92%), the number of commits increases by 15.39% (se: 9.69%), and the number of bu...",,,,Reclassify based on context: growth_metric,0.8
20,7.0,percentage,2024,general_rate,ai_metric,to 40% while senior developers have more marginal gains of 7% to 16%. the estimates for above- and b...,,,,Reclassify based on context: ai_metric,0.8
21,150.0,percentage,2024,general_rate,growth_metric,59 24 28 -5 39 19 19 -6 57 18 9 8 2 -2 -5 -0 -50 0 50 100 150 % increase in outcome pull requests co...,,,,Reclassify based on context: growth_metric,0.8
24,2023.0,energy_unit,2024,unknown_metric,reference_year,"ls can be used to estimate demand (brand, israeli, and ngwe 2023; goli and singh 2024; gui and toubi...",,,,Energy unit is a misclassified year/reference,0.95
