value,unit,metric_type,sector,context,source_page,source_paragraph,confidence,year,extraction_method,validation_issues,company,source_pdf,extraction_date
3.0,number,job_creation,unknown,03 How businesses are creating impact with AI,1,1,0.5599999999999999,2024,pattern_matching,[],,AI use case.pdf,2025-07-24T17:20:01.293806
5.0,number,ai_implementation_count,unknown,05 AI across industries: Use cases you can apply,1,3,0.44799999999999995,2024,pattern_matching,['Missing required context keywords'],,AI use case.pdf,2025-07-24T17:20:01.293811
14.0,number,ai_implementation_count,unknown,14 Your AI transformation starts here,1,8,0.44799999999999995,2024,pattern_matching,['Missing required context keywords'],Your,AI use case.pdf,2025-07-24T17:20:01.293812
246000.0,millions_usd,ai_investment_amount,professional_services,"According to IDC, enterprises worldwide were expected to invest $246 billion  in AI solutions $44 billion in generative AI specifically in 2024. And this spending is expected to grow to $749 billion at a compound annual growth",2,1,0.8360000000000001,2024,pattern_matching,[],,AI use case.pdf,2025-07-24T17:20:01.293813
246.0,number,ai_implementation_count,professional_services,"According to IDC, enterprises worldwide were expected to invest $246 billion  in AI solutions $44 billion in generative AI specifically in 2024. And this spending is expected to grow to $749 billion at a compound annua",2,1,0.8360000000000001,2024,pattern_matching,[],,AI use case.pdf,2025-07-24T17:20:01.293813
44000.0,millions_usd,ai_investment_amount,professional_services,"According to IDC, enterprises worldwide were expected to invest $246 billion  in AI solutions $44 billion in generative AI specifically in 2024. And this spending is expected to grow to $749 billion at a compound annual growth rate (CAGR) of 32.",2,1,0.8360000000000001,2024,pattern_matching,[],,AI use case.pdf,2025-07-24T17:20:01.293814
44.0,number,ai_implementation_count,professional_services,"According to IDC, enterprises worldwide were expected to invest $246 billion  in AI solutions $44 billion in generative AI specifically in 2024. And this spending is expected to grow to $749 billion at a compound annual growth rate (CAGR) of 32.",2,1,0.8360000000000001,2024,pattern_matching,[],,AI use case.pdf,2025-07-24T17:20:01.293815
2024.0,number,ai_implementation_count,professional_services,"According to IDC, enterprises worldwide were expected to invest $246 billion  in AI solutions $44 billion in generative AI specifically in 2024. And this spending is expected to grow to $749 billion at a compound annual growth rate (CAGR) of 32.",2,1,0.8360000000000001,2024,pattern_matching,[],,AI use case.pdf,2025-07-24T17:20:01.293816
749000.0,millions_usd,cost_reduction,professional_services,And this spending is expected to grow to $749 billion at a compound annual growth rate (CAGR) of 32.8% for 2023 2028.1,2,1,0.4256,2023,pattern_matching,"['Value 749000.0 outside typical range [-1000, 10000]', 'Missing required context keywords']",,AI use case.pdf,2025-07-24T17:20:01.293817
749.0,number,ai_implementation_count,professional_services,And this spending is expected to grow to $749 billion at a compound annual growth rate (CAGR) of 32.8% for 2023 2028.1,2,1,0.6080000000000001,2023,pattern_matching,['Missing required context keywords'],,AI use case.pdf,2025-07-24T17:20:01.293818
32.8,percentage,ai_adoption_rate,professional_services,And this spending is expected to grow to $749 billion at a compound annual growth rate (CAGR) of 32.8% for 2023 2028.1,2,1,0.6080000000000001,2023,pattern_matching,['Missing required context keywords'],,AI use case.pdf,2025-07-24T17:20:01.293819
32.8,number,ai_implementation_count,professional_services,And this spending is expected to grow to $749 billion at a compound annual growth rate (CAGR) of 32.8% for 2023 2028.1,2,1,0.6080000000000001,2023,pattern_matching,['Missing required context keywords'],,AI use case.pdf,2025-07-24T17:20:01.293820
32.0,number,ai_implementation_count,professional_services,And this spending is expected to grow to $749 billion at a compound annual growth rate (CAGR) of 32.8% for 2023 2028.1,2,1,0.6080000000000001,2023,pattern_matching,['Missing required context keywords'],,AI use case.pdf,2025-07-24T17:20:01.293821
8.0,number,ai_implementation_count,professional_services,8% for 2023 2028.1,2,1,0.4864000000000001,2023,pattern_matching,['Missing required context keywords'],,AI use case.pdf,2025-07-24T17:20:01.293821
2023.0,number,ai_implementation_count,professional_services,8% for 2023 2028.1,2,1,0.4864000000000001,2023,pattern_matching,['Missing required context keywords'],,AI use case.pdf,2025-07-24T17:20:01.293822
2028.1,number,ai_implementation_count,professional_services,8% for 2023 2028.1,2,1,0.4864000000000001,2023,pattern_matching,['Missing required context keywords'],,AI use case.pdf,2025-07-24T17:20:01.293823
1.0,number,ai_implementation_count,professional_services,1,2,1,0.4864000000000001,2024,pattern_matching,['Missing required context keywords'],,AI use case.pdf,2025-07-24T17:20:01.293824
1.0,number,net_employment_change,unknown,Empower the workforce 1,2,4,0.5599999999999999,2024,pattern_matching,[],Empower,AI use case.pdf,2025-07-24T17:20:01.293825
2.0,number,ai_implementation_count,unknown,Reinvent customer engagement 2,2,5,0.44799999999999995,2024,pattern_matching,['Missing required context keywords'],Reinvent,AI use case.pdf,2025-07-24T17:20:01.293826
1.0,number,ai_implementation_count,information_communication_technology,,2,9,0.4864000000000001,2024,pattern_matching,['Missing required context keywords'],,AI use case.pdf,2025-07-24T17:20:01.293827
2024.0,number,ai_implementation_count,information_communication_technology,,2,9,0.4864000000000001,2024,pattern_matching,['Missing required context keywords'],,AI use case.pdf,2025-07-24T17:20:01.293828
