value,unit,metric_type,sector,context,source_page,source_paragraph,confidence,year,extraction_method,validation_issues,company,source_pdf,extraction_date,metric_id
3.0,number,ai_patents_filed,entertainment_media,"Leibo, David Silver, Demis Hassabis, Koray Kavukcuoglu, and Thore Graepel,  Human-level performance in 3D multiplayer games with population-based reinforcement learning,  Science, May 2019 https:  science.",14,1,0.869,2024,pattern_matching,[],Leibo,AI100Report_MT_10.pdf,2025-07-24T17:20:02.895863,1559
13.0,number,ai_implementation_count,entertainment_media,"Kumthekar, Maheswaran Sathiamoorthy, Xinyang Yi, and Ed Chi,  Recommending what video to watch next: a multitask ranking system,  Proceedings of the 13th ACM Conference on Recommender Systems (RecSys  19) https:  dl.",17,5,0.8623999999999999,2024,pattern_matching,[],Kumthekar,AI100Report_MT_10.pdf,2025-07-24T17:20:02.895953,1676
2.0,number,ai_implementation_count,entertainment_media,Examples include Spotify s use of audio analysis of music40 or the application of large language models  SEE SQ2.A such as BERT to improve recommendations of news or social media posts.,17,1,0.8079999999999999,2024,pattern_matching,[],Examples,AI100Report_MT_10.pdf,2025-07-24T17:20:02.895939,1657
40.0,number,ai_implementation_count,entertainment_media,Examples include Spotify s use of audio analysis of music40 or the application of large language models  SEE SQ2.A such as BERT to improve recommendations of news or social media posts.,17,1,0.8079999999999999,2024,pattern_matching,[],Examples,AI100Report_MT_10.pdf,2025-07-24T17:20:02.895938,1656
42.0,number,ai_patents_filed,entertainment_media,"42 Of course, applying recommendation to multiple tasks simultaneously raises the challenging question of how best to make tradeoffs among these differe",17,1,0.8079999999999999,2024,pattern_matching,[],,AI100Report_MT_10.pdf,2025-07-24T17:20:02.895940,1659
41.0,number,ai_patents_filed,entertainment_media,"41 Another trend is modeling and prediction of multiple distinct user behaviors, instead of making recommendations for only one activity at a time  func",17,1,0.8079999999999999,2024,pattern_matching,[],Another,AI100Report_MT_10.pdf,2025-07-24T17:20:02.895940,1658
206.0,number,ai_implementation_count,entertainment_media,"com 2016 08 08 machine-learning-and-molecular-tinder-may-change-the-game-for-oled-screens  206 Xin Chen, Guannan Qu, Yujie Tang, Steven Low, and Na Li,  Reinforcement Learning for Decision-Making and Control in Power Systems: Tutorial, Review,",47,7,0.803,2024,pattern_matching,[],Xin Chen,AI100Report_MT_10.pdf,2025-07-24T17:20:02.896468,2356
2019.0,number,ai_patents_filed,entertainment_media,"s, Koray Kavukcuoglu, and Thore Graepel,  Human-level performance in 3D multiplayer games with population-based reinforcement learning,  Science, May 2019 https:  science.",14,1,0.7899999999999999,2024,pattern_matching,[],Koray Kavukcuoglu,AI100Report_MT_10.pdf,2025-07-24T17:20:02.895864,1560
2021.0,number,ai_patents_filed,entertainment_media,"org agenda 2021 08 cassie-the-bipedal-robot-runs-a-5k  17 https:  en.qxfoodom.com show-31-199.html 18 https:  response.jp article 2019 03 14 320121.html, https:  www",14,1,0.7899999999999999,2024,pattern_matching,[],,AI100Report_MT_10.pdf,2025-07-24T17:20:02.895878,1579
8.0,number,ai_patents_filed,entertainment_media,"org agenda 2021 08 cassie-the-bipedal-robot-runs-a-5k  17 https:  en.qxfoodom.com show-31-199.html 18 https:  response.jp article 2019 03 14 320121.html, https:  www.",14,1,0.7899999999999999,2024,pattern_matching,[],,AI100Report_MT_10.pdf,2025-07-24T17:20:02.895879,1580
5.0,number,ai_patents_filed,entertainment_media,"org agenda 2021 08 cassie-the-bipedal-robot-runs-a-5k  17 https:  en.qxfoodom.com show-31-199.html 18 https:  response.jp article 2019 03 14 320121.html, https:  www.",14,1,0.7899999999999999,2024,pattern_matching,[],,AI100Report_MT_10.pdf,2025-07-24T17:20:02.895882,1582
9.0,number,ai_patents_filed,entertainment_media,com watch v wND9goxDVrY 16 https:  www.weforum.org agenda 2021 08 cassie-the-bipedal-robot-runs-a-5k  17 https:  en.qxfoodom.com show-31-199.html 18 https:  response.,14,1,0.7899999999999999,2024,pattern_matching,[],,AI100Report_MT_10.pdf,2025-07-24T17:20:02.895877,1577
16.0,number,ai_patents_filed,entertainment_media,com watch v wND9goxDVrY 16 https:  www.weforum.org agenda 2021 08 cassie-the-bipedal-robot-runs-a-5k  17 https:  en.qxfoodom.com show-31-199.html 18 https:  response.,14,1,0.7899999999999999,2024,pattern_matching,[],,AI100Report_MT_10.pdf,2025-07-24T17:20:02.895877,1578
17.0,number,ai_patents_filed,entertainment_media,"org agenda 2021 08 cassie-the-bipedal-robot-runs-a-5k  17 https:  en.qxfoodom.com show-31-199.html 18 https:  response.jp article 2019 03 14 320121.html, https:  www.",14,1,0.7899999999999999,2024,pattern_matching,[],,AI100Report_MT_10.pdf,2025-07-24T17:20:02.895883,1583
19.0,number,ai_implementation_count,entertainment_media,"d Ed Chi,  Recommending what video to watch next: a multitask ranking system,  Proceedings of the 13th ACM Conference on Recommender Systems (RecSys  19) https:  dl.",17,5,0.7839999999999999,2024,pattern_matching,[],Ed Chi,AI100Report_MT_10.pdf,2025-07-24T17:20:02.895954,1677
41.0,number,ai_implementation_count,entertainment_media,"com discover  41 See https:  www.cs.toronto.edu  mvolkovs recsys2020_challenge.pdf for their use in the 2020 Recommender Systems (RecSys) challenge. 42 Zhe Zhao, Lich",17,5,0.7839999999999999,2024,pattern_matching,[],Recommender Systems,AI100Report_MT_10.pdf,2025-07-24T17:20:02.895951,1673
2020.0,number,ai_implementation_count,entertainment_media,"edu  mvolkovs recsys2020_challenge.pdf for their use in the 2020 Recommender Systems (RecSys) challenge. 42 Zhe Zhao, Lichan Hong, Li Wei, Jilin Chen, Aniruddh Nath, Shawn An",17,5,0.7839999999999999,2024,pattern_matching,[],Recommender Systems,AI100Report_MT_10.pdf,2025-07-24T17:20:02.895952,1674
20.0,number,ai_implementation_count,entertainment_media,"Feb 20, 2024 SDXL-Lightning Text-to- image ByteDance Developed by ByteDance, the creators of TikTok, this model was among the fastest text-to-image systems",88,15,0.76,2024,pattern_matching,[],Lightning Text,hai_ai_index_report_2025.pdf,2025-07-24T17:20:36.378986,8633
2024.0,number,ai_implementation_count,entertainment_media,"Feb 20, 2024 SDXL-Lightning Text-to- image ByteDance Developed by ByteDance, the creators of TikTok, this model was among the fastest text-to-image systems at its",88,15,0.76,2024,pattern_matching,[],Lightning Text,hai_ai_index_report_2025.pdf,2025-07-24T17:20:36.378987,8634
4.0,number,ai_patents_filed,entertainment_media,"07901v4.pdf  Forough Poursabzi-Sangdeh, Daniel G. Goldstein, Jake M. Hofman, Jennifer Wortman Vaughan, Hanna Wallach,  Manipulating and Measuring Model Inter",47,7,0.73,2024,pattern_matching,[],Forough Poursabzi,AI100Report_MT_10.pdf,2025-07-24T17:20:02.896460,2346
7901.0,number,ai_patents_filed,entertainment_media,"07901v4.pdf  Forough Poursabzi-Sangdeh, Daniel G. Goldstein, Jake M. Hofman, Jennifer Wortman Vaughan, Hanna Wallach,  Manipulating and Measuring Model Int",47,7,0.73,2024,pattern_matching,[],Forough Poursabzi,AI100Report_MT_10.pdf,2025-07-24T17:20:02.896459,2345
1811.07901,number,ai_patents_filed,entertainment_media,"org pdf 1811.07901v4.pdf  Forough Poursabzi-Sangdeh, Daniel G. Goldstein, Jake M. Hofman, Jennifer Wortman Vaughan, Hanna Wallach,  Manipulating and Measuring Model Int",47,7,0.73,2024,pattern_matching,[],Forough Poursabzi,AI100Report_MT_10.pdf,2025-07-24T17:20:02.896458,2344
50.0,number,ai_implementation_count,entertainment_media,"com story google-assistant-can-now-translate-on-your-phone 50 There are automated proof checkers and some brute-force theorem provers, but generating a novel interesting mathematical conjecture and proving it in",17,5,0.6899200000000001,2024,pattern_matching,['Missing required context keywords'],There,AI100Report_MT_10.pdf,2025-07-24T17:20:02.895969,1697
44.0,number,ai_implementation_count,entertainment_media,"com algorithmic-effects-on-the-diversity-of-consumption-on-spotify  44 https:  facctrec.github.io facctrec2020 program  45 Raj Reddy,  Foundations and Grand Challenges of Artificial Intelligence,  1988 AAAI Presidential",17,5,0.6899200000000001,2024,pattern_matching,['Missing required context keywords'],Raj Reddy,AI100Report_MT_10.pdf,2025-07-24T17:20:02.895957,1681
10.0,number,ai_implementation_count,entertainment_media,"hine-learned models for recommending products, services, and (especially) content has raised significant concerns about the issues of fairness  SEE SQ10.",17,1,0.6464,2024,pattern_matching,['Missing required context keywords'],,AI100Report_MT_10.pdf,2025-07-24T17:20:02.895941,1660
39.0,number,ai_implementation_count,entertainment_media,"39 There has also been increased usage of sophisticated machine-learning techniques for analyzing the content of recommended items, rather than using on",17,1,0.6464,2024,pattern_matching,['Missing required context keywords'],There,AI100Report_MT_10.pdf,2025-07-24T17:20:02.895938,1655
199.0,number,ai_implementation_count,entertainment_media,"com show-31-199.html 18 https:  response.jp article 2019 03 14 320121.html, https:  www.youtube.com watch v P_zRwq9c8LY, https:  www.youtube.com watch v AI0l3ySnAiA",14,1,0.632,2024,pattern_matching,['Missing required context keywords'],,AI100Report_MT_10.pdf,2025-07-24T17:20:02.895884,1585
6419.0,number,ai_implementation_count,entertainment_media,"org content 362 6419 1140 15 https:  www.cnbc.com 2020 11 12 boston-dynamics-robot-gathering-data-at-construction-site-in-london.html, https:  www.youtube.",14,1,0.632,2024,pattern_matching,['Missing required context keywords'],,AI100Report_MT_10.pdf,2025-07-24T17:20:02.895875,1574
2018.0,number,ai_implementation_count,entertainment_media,"ren Simonyan, and Demis Hassabis,  A general reinforcement learning algorithm that masters chess, shogi, and Go through self-play,  Science, December 2018 https:  science.",14,1,0.632,2024,pattern_matching,['Missing required context keywords'],Simonyan,AI100Report_MT_10.pdf,2025-07-24T17:20:02.895873,1572
362.0,number,ai_implementation_count,entertainment_media,"org content 362 6419 1140 15 https:  www.cnbc.com 2020 11 12 boston-dynamics-robot-gathering-data-at-construction-site-in-london.html, https:  www.youtube.",14,1,0.632,2024,pattern_matching,['Missing required context keywords'],,AI100Report_MT_10.pdf,2025-07-24T17:20:02.895874,1573
18.0,number,ai_implementation_count,entertainment_media,"html 18 https:  response.jp article 2019 03 14 320121.html, https:  www.youtube.com watch v P_zRwq9c8LY, https:  www.youtube.com watch v AI0l3ySnAiA",14,1,0.632,2024,pattern_matching,['Missing required context keywords'],,AI100Report_MT_10.pdf,2025-07-24T17:20:02.895885,1586
575.0,number,ai_implementation_count,entertainment_media,"avukcuoglu, Demis Hassabis, Chris Apps, and David Silver,  Grandmaster level in StarCraft II using multi-agent reinforcement learning,  Nature Volume 575, October 2019 https:  www.",14,1,0.632,2024,pattern_matching,['Missing required context keywords'],Demis Hassabis,AI100Report_MT_10.pdf,2025-07-24T17:20:02.895860,1555
364.0,number,ai_implementation_count,entertainment_media,org content 364 6443 859.full 11 https:  www.darpa.mil news-events 2020-08-07 12 https:  www.washingtonpost.com science 2019 07 11 ruthless-superhuman-poker-playing-,14,1,0.632,2024,pattern_matching,['Missing required context keywords'],,AI100Report_MT_10.pdf,2025-07-24T17:20:02.895865,1561
9.0,number,ai_implementation_count,entertainment_media,"com watch v P_zRwq9c8LY, https:  www.youtube.com watch v AI0l3ySnAiA",14,1,0.632,2024,pattern_matching,['Missing required context keywords'],,AI100Report_MT_10.pdf,2025-07-24T17:20:02.895887,1589
3.0,number,ai_implementation_count,entertainment_media,"jp article 2019 03 14 320121.html, https:  www.youtube.com watch v P_zRwq9c8LY, https:  www.youtube.com watch v AI0l3ySnAiA",14,1,0.632,2024,pattern_matching,['Missing required context keywords'],,AI100Report_MT_10.pdf,2025-07-24T17:20:02.895886,1587
15.0,number,ai_implementation_count,entertainment_media,"org content 362 6419 1140 15 https:  www.cnbc.com 2020 11 12 boston-dynamics-robot-gathering-data-at-construction-site-in-london.html, https:  www.youtube.",14,1,0.632,2024,pattern_matching,['Missing required context keywords'],,AI100Report_MT_10.pdf,2025-07-24T17:20:02.895876,1576
1140.0,number,ai_implementation_count,entertainment_media,"org content 362 6419 1140 15 https:  www.cnbc.com 2020 11 12 boston-dynamics-robot-gathering-data-at-construction-site-in-london.html, https:  www.youtube.",14,1,0.632,2024,pattern_matching,['Missing required context keywords'],,AI100Report_MT_10.pdf,2025-07-24T17:20:02.895875,1575
