value,unit,metric_type,sector,context,source_page,source_paragraph,confidence,year,extraction_method,validation_issues,company,source_pdf,extraction_date,metric_id
2.0,number,ai_implementation_count,transportation_logistics,"In its mission statement, it pledges to support: 1) investments in developing AI applications across supply chains  2) the commercialisation of AI- powered solutions  3) the AI start-up ecosystem  4) AI skills in the workforce  and 5) the collaborative development of",106,4,0.8761076923076924,2024,pattern_matching,[],,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.834869,5359
3.0,number,ai_implementation_count,transportation_logistics,"atement, it pledges to support: 1) investments in developing AI applications across supply chains  2) the commercialisation of AI- powered solutions  3) the AI start-up ecosystem  4) AI skills in the workforce  and 5) the collaborative development of AI applications.",106,4,0.8761076923076924,2024,pattern_matching,[],,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.834870,5360
21.0,number,job_displacement,transportation_logistics,"20 Scale AI provides grants for industry-led projects21 in demand forecasting, automated in-plant logistics and real-time data integration. Government funding is matched by contributions from the private s",106,4,0.8761076923076924,2024,pattern_matching,[],Scale,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.834873,5364
5.0,number,ai_implementation_count,transportation_logistics,pplications across supply chains  2) the commercialisation of AI- powered solutions  3) the AI start-up ecosystem  4) AI skills in the workforce  and 5) the collaborative development of AI applications.,106,4,0.8761076923076924,2024,pattern_matching,[],,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.834871,5362
4.0,number,ai_implementation_count,transportation_logistics,: 1) investments in developing AI applications across supply chains  2) the commercialisation of AI- powered solutions  3) the AI start-up ecosystem  4) AI skills in the workforce  and 5) the collaborative development of AI applications.,106,4,0.8761076923076924,2024,pattern_matching,[],,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.834870,5361
1.0,number,ai_implementation_count,transportation_logistics,"This is supported by evidence that the impact of AI varies significantly across different contexts and applications  1,5 . By employing sophisticated analytical techniques and building on a robust theoretical foundation, this study seeks to contribute to the ongoing d",1,1,0.8558,2024,pattern_matching,[],,Assessing the Impact of Artificial Intelligence Tools on Employee.pdf,2025-07-24T17:20:04.815795,3562
9.0,count,net_employment_change,transportation_logistics,"This is supported by studies showing substantial productivity gains in firms adopting AI technologies  9 . Second, it is hypothesized that the impact of AI on employment is complex, with positive productivity effects at the firm level not necessarily tra",1,1,0.8558,2024,pattern_matching,[],Second,Assessing the Impact of Artificial Intelligence Tools on Employee.pdf,2025-07-24T17:20:04.815791,3557
5.0,number,ai_implementation_count,transportation_logistics,"This is supported by evidence that the impact of AI varies significantly across different contexts and applications  1,5 . By employing sophisticated analytical techniques and building on a robust theoretical foundation, this study seeks to contribute to the ongoing dis",1,1,0.8558,2024,pattern_matching,[],,Assessing the Impact of Artificial Intelligence Tools on Employee.pdf,2025-07-24T17:20:04.815796,3563
85.0,number,ai_implementation_count,transportation_logistics,"MxD has invested over USD 120 million (US dollars) (about EUR 120 million  euros ) in more than 85 applied R D projects24 in the areas of design, product development, systems engineering, future factories, agile and resilient supply chains, and cyb",106,5,0.8461538461538461,2024,pattern_matching,[],,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.834878,5371
24.0,number,ai_implementation_count,transportation_logistics,"MxD has invested over USD 120 million (US dollars) (about EUR 120 million  euros ) in more than 85 applied R D projects24 in the areas of design, product development, systems engineering, future factories, agile and resilient supply chains, and cybersecurity.",106,5,0.8461538461538461,2024,pattern_matching,[],,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.834878,5372
120.0,number,ai_implementation_count,transportation_logistics,"MxD has invested over USD 120 million (US dollars) (about EUR 120 million  euros ) in more than 85 applied R D projects24 in the areas of design, product development, systems engineering, future factories, agile and",106,5,0.8461538461538461,2024,pattern_matching,[],,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.834877,5370
