original_id,value,unit,year,metric_type,context_preview,reason,confidence
823,5.0,percentage,2024,general_rate,"r-rich routes to taxi drivers reduces their search time by 5%, with the least experienced drivers be...",Passed all validation checks,0.85
827,70.0,percentage,2021,general_rate,"rkers with access to ai assistance was only 5%, growing to 70% in january 2021. while our analysis p...",Passed all validation checks,0.85
828,89.0,percentage,2024,general_rate,s in the post-ai period. most of the agents in our sample (89%) are located outside the united state...,Passed all validation checks,0.85
829,23.9,percentage,2024,general_rate,"ss to ai rec- ommendations increases rph by 0.47 chats, up 23.9% from their pretreatment mean of 1.9...",Passed all validation checks,0.85
830,8.5,percentage,2024,general_rate,"ute decrease in the average duration of customer chats, an 8.5% decline from the baseline mean of 43...",Passed all validation checks,0.85
831,80.0,percentage,2024,general_rate,he coefﬁcient is −0.12 per- centage points and the mean is 80%. online appendix figure a.iii present...,Passed all validation checks,0.85
832,36.0,percentage,2024,general_rate,"ile (leftmost side), who see an increase of 0.5 in rph, or 36%. in contrast, ai assistance does not ...",Passed all validation checks,0.85
833,50.0,percentage,2024,general_rate,"adherence rate is 38%, with an interquartile range of 23%–50%: agents frequently disregard rec- omme...",Passed all validation checks,0.85
834,27.0,percentage,2023,general_rate,y of github copilot reports that individual developers use 27%–46% of code recommendations ( zhao 20...,Passed all validation checks,0.85
836,100.0,percentage,2024,general_rate,"ber of chats without recommendations, increasing to almost 100%. records from our ai ﬁrm indicate th...",Passed all validation checks,0.85
837,1.0,percentage,2024,general_rate,tes agent sentiments increase by only 0.02 points or about 1% of a standard deviation. downloaded fr...,Passed all validation checks,0.85
838,6.0,percentage,2024,general_rate,"escalation. relative to a base- line rate of approximately 6%, these coefﬁcients suggest that ai ass...",Passed all validation checks,0.85
840,5.0,billions_usd,2024,financial_metric,"trained on 300 billion tokens, and incurred approximately $5 million in training costs. the gpt-4 mo...",Passed all validation checks,0.85
841,65.0,billions_usd,2023,financial_metric,13 trillion tokens at an estimated computing-only cost of $65 million ( li 2020 ; brown et al. 2020 ...,Passed all validation checks,0.85
842,10.0,billions_usd,2024,financial_metric,"of agents in contact centers leave each year, costing ﬁrms $10,000 to $20,000 per agent in the unite...",Passed all validation checks,0.85
843,20.0,billions_usd,2024,financial_metric,"n contact centers leave each year, costing ﬁrms $10,000 to $20,000 per agent in the united states ( ...",Passed all validation checks,0.85
844,3.0,billions_usd,2024,cost_metric,"the 
gpt-3 model included 175 billion parameters, was trained on 300 
billion tokens, and incurred...",Passed all validation checks,0.85
845,175.0,billions_usd,2024,cost_metric,"the 
gpt-3 model included 175 billion parameters, was trained on 300 
billion tokens, and incurred...",Passed all validation checks,0.85
846,300.0,billions_usd,2024,cost_metric,"the 
gpt-3 model included 175 billion parameters, was trained on 300 
billion tokens, and incurred...",Passed all validation checks,0.85
848,65.0,billions_usd,2020,cost_metric,"8 trillion parameters and was 
trained on 13 trillion tokens at an estimated computing-only cost 
...",Passed all validation checks,0.85
849,50.0,number,2024,employment_metric,"ata ﬁrm conducted a pilot analysis involving approximately 50 workers, with about half randomized in...",Passed all validation checks,0.85
853,60.0,percentage,2018,cost_metric,"turnover is high: industry estimates sug- 
gest that 60% of agents in contact centers leave each ye...",Passed all validation checks,0.85
5378,15.0,percentage,2025,productivity,"r productivity, as measured by issues resolved per hour, by 15% on average, with substantial heterog...",Passed all validation checks,0.85
5381,30.0,percentage,2025,productivity,"gniﬁ- cantly across all productivity measures, including a 30% increase in the number of issues reso...",Passed all validation checks,0.85
5382,5.0,percentage,2025,percentages,"r-rich routes to taxi drivers reduces their search time by 5%, with the least experienced drivers be...",Passed all validation checks,0.85
5383,60.0,percentage,2025,cost,ctive. turnover is high: industry estimates sug- gest that 60% of agents in contact centers leave ea...,Passed all validation checks,0.85
5384,20.0,percentage,2025,percentages,rviewed esti- mated that performance bonuses accounted for 20% to 40% of a typical agent’s total tak...,Passed all validation checks,0.85
5385,40.0,percentage,2025,percentages,esti- mated that performance bonuses accounted for 20% to 40% of a typical agent’s total take-home p...,Passed all validation checks,0.85
5386,5.0,percentage,2021,employment,"of ac- tive workers with access to ai assistance was only 5%, growing to 70% in january 2021. while ...",Passed all validation checks,0.85
5388,89.0,percentage,2025,percentages,s in the post-ai period. most of the agents in our sample (89%) are located outside the united state...,Passed all validation checks,0.85
5389,23.9,percentage,2025,growth_rate,"ss to ai rec- ommendations increases rph by 0.47 chats, up 23.9% from their pretreatment mean of 1.9...",Passed all validation checks,0.85
5390,15.2,percentage,2025,growth_rate,ﬁnd that the ai deployment increases rph by 0.30 chats or 15.2%. figure ii shows the accompanying in...,Passed all validation checks,0.85
5391,95.0,percentage,2025,productivity,"studies, productivity this ﬁgure plots the coefﬁcients and 95% conﬁdence intervals from event-study ...",Passed all validation checks,0.85
5392,8.5,percentage,2025,percentages,"ute decrease in the average duration of customer chats, an 8.5% decline from the baseline mean of 43...",Passed all validation checks,0.85
5394,82.0,percentage,2025,percentages,ally modest and in- signiﬁcant given a high baseline rr of 82%. we interpret this downloaded from ht...,Passed all validation checks,0.85
5395,80.0,percentage,2025,percentages,he coefﬁcient is −0.12 per- centage points and the mean is 80%. online appendix figure a.iii present...,Passed all validation checks,0.85
