original_id,value,unit,year,metric_type,context_preview,reason,confidence
88,246.0,billions_usd,2024,financial_metric,"ing to idc, enterprises worldwide were expected to invest $246 billion* in ai solutions—$44 billion ...",No issues detected,0.8
89,44.0,billions_usd,2024,financial_metric,wide were expected to invest $246 billion* in ai solutions—$44 billion in generative ai specifically...,No issues detected,0.8
90,749.0,billions_usd,2024,financial_metric,ifically—in 2024. and this spending is expected to grow to $749 billion at a compound annual growth ...,No issues detected,0.8
91,1.0,billions_usd,2024,financial_metric,"are driving profitability as a result. in fact, for every $1 a company invests in generative ai, the...",No issues detected,0.8
92,1.0,number,2024,employment_metric,nd what you can learn from them to help you: empower the workforce 1 reinvent customer engagement 2 ...,No issues detected,0.8
1450,32.8,percentage,2023,growth_rate,"to $749 billion at a compound annual growth rate (cagr) of 32.8% for 2023–2028.1 the next question, ...",No issues detected,0.8
1451,56.0,percentage,2025,productivity,"platforms, data, and infrastructure to get the most value. 56% of organizations say productivity and...",No issues detected,0.8
1452,43.0,percentage,2025,productivity,th are the two most important business outcomes for ai.1 43% of leaders say productivity use cases a...,No issues detected,0.8
1453,26.0,percentage,2025,percentages,tivity use cases are providing the greatest roi for ai.1 26% of leaders say industry ai use cases (n...,No issues detected,0.8
1455,246.0,billions_usd,2025,dollar_amounts,"ing to idc, enterprises worldwide were expected to invest $246 billion* in ai solutions—$44 billion ...",No issues detected,0.8
1458,1.0,usd,2025,dollar_amounts,"are driving profitability as a result. in fact, for every $1 a company invests in generative ai, the...",No issues detected,0.8
1459,1.0,number,2025,energy,nd what you can learn from them to help you: empower the workforce 1 reinvent customer engagement 2 ...,No issues detected,0.8
