value,unit,metric_type,sector,context,source_page,source_paragraph,confidence,year,extraction_method,validation_issues,company,source_pdf,extraction_date,metric_id
2024.0,number,ai_patents_filed,information_communication_technology,"e are further grateful for feedback from participants at the  Labor in the Age of Generative AI  conference at the University of Chicago, the NBER SI 2024 Digital Economics and Artificial Intelligence in Cambridge, MA, the 2024 NBER Productivity Seminar in Cambridge, MA, the 2024 Academy of Management C",2,9,0.8663947368421052,2024,pattern_matching,[],Labor,GenAi and the Nature of Work.pdf,2025-07-24T17:20:17.827944,6779
1980.0,number,ai_implementation_count,information_communication_technology,"But such methods were easily surpassed with the specialized hand-coded knowledge poured into expert systems in the 1980s. The pendulum swung back in the 2010s, when the addition of big data and faster processors allowed general-purpose methods like deep learning to out",60,1,0.8498947368421053,2024,pattern_matching,[],,AI100Report_MT_10.pdf,2025-07-24T17:20:02.896669,2622
238.0,number,ai_implementation_count,information_communication_technology,"org the-folly-of-technological-solutionism-an-interview-with-evgeny-morozov  238 https:  predpol.com about 239 Kristian Lum and William Isaac,  To predict and serve   Significance, October 2016, https:  rss.",52,10,0.8498947368421053,2024,pattern_matching,[],Kristian Lum,AI100Report_MT_10.pdf,2025-07-24T17:20:02.896545,2454
26.08,number,workforce_augmentation,information_communication_technology,Our preferred estimates from an instrumental variable regression suggest that usage of the coding assistant causes a 26.08% (SE: 10.3%) increase in the weekly number of completed tasks for those using the tool.,1,2,0.8498947368421053,2024,pattern_matching,[],,Affects of GenAI on Highskilled Work.pdf,2025-07-24T17:20:00.779155,453
8.0,number,job_displacement,information_communication_technology,"com article us-amazon-com-jobs-automation-insight amazon-scraps-secret-ai-recruiting-tool-that-showed-bias-against-women- idUSKCN1MK08G 235 Safiya Umoja Noble, Algorithms of Oppression: How Search Engines Reinforce Racism, NYU Press, 2018 236 Ruha Benjamin, Race After Technology: Abo",52,10,0.8498947368421053,2024,pattern_matching,[],Safiya Umoja Noble,AI100Report_MT_10.pdf,2025-07-24T17:20:02.896544,2452
26.08,percentage,ai_adoption_rate,information_communication_technology,Our preferred estimates from an instrumental variable regression suggest that usage of the coding assistant causes a 26.08% (SE: 10.3%) increase in the weekly number of completed tasks for those using the tool.,1,2,0.8498947368421053,2024,pattern_matching,[],,Affects of GenAI on Highskilled Work.pdf,2025-07-24T17:20:00.779154,452
1.0,number,job_displacement,information_communication_technology,"com article us-amazon-com-jobs-automation-insight amazon-scraps-secret-ai-recruiting-tool-that-showed-bias-against-women- idUSKCN1MK08G 235 Safiya Umoja Noble, Algorithms of Oppression: How Search Engines Reinforce Racism, NYU Press, 2018 236 Ruha Benjamin, Race After Technology:",52,10,0.8498947368421053,2024,pattern_matching,[],Safiya Umoja Noble,AI100Report_MT_10.pdf,2025-07-24T17:20:02.896543,2451
235.0,number,job_displacement,information_communication_technology,"com article us-amazon-com-jobs-automation-insight amazon-scraps-secret-ai-recruiting-tool-that-showed-bias-against-women- idUSKCN1MK08G 235 Safiya Umoja Noble, Algorithms of Oppression: How Search Engines Reinforce Racism, NYU Press, 2018 236 Ruha Benjamin, Race After Technology: Abolitio",52,10,0.8498947368421053,2024,pattern_matching,[],Safiya Umoja Noble,AI100Report_MT_10.pdf,2025-07-24T17:20:02.896545,2453
10.0,percentage,ai_adoption_rate,information_communication_technology,"We find that the approval rate of pull requests goes up by about 10%, suggesting that the code produced after adoption of Copilot is more likely to be merged into the main codebase, a positive signal of quality.",12,2,0.8429473684210527,2024,pattern_matching,[],Copilot,Affects of GenAI on Highskilled Work.pdf,2025-07-24T17:20:00.779324,675
44.2,percentage,ai_adoption_rate,information_communication_technology,"However, we note that adoption rates during these early stages of the experiment were quite small: at Microsoft, only 44.2% of developers adopted Copilot in the first 29 weeks (and this is with adoption significantly accelerating towards the end of this period).",24,3,0.8429473684210527,2024,pattern_matching,[],However,Affects of GenAI on Highskilled Work.pdf,2025-07-24T17:20:00.779475,881
