value,unit,metric_type,sector,context,source_page,source_paragraph,confidence,year,extraction_method,validation_issues,company,source_pdf,extraction_date,metric_id
42.0,percentage,ai_adoption_rate,retail_ecommerce,"As much as 36% of customer feedback, 38% of information on production activities, and 42% of supply chain-related information is not digitised. These shortfalls restrict the ability to generate value using AI.",57,4,0.8448000000000001,2024,pattern_matching,[],,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.834552,4931
3.0,count,ai_implementation_count,retail_ecommerce,"cently, with the greater use of cloud computing (a problematic topic for some of the enterprises surveyed by OECD BCG INSEAD, as discussed in Chapter 3), the extensive computing power required for large-scale AI applications was beyond the means of most firms, making AI more feasible for larger firms",51,9,0.8448000000000001,2024,pattern_matching,[],Chapter,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.834431,4762
50.0,count,workforce_augmentation,retail_ecommerce,"For small firms (here, meaning those with fewer than 50 employees), use rates tended to decline with age, with the oldest firms having the lowest adoption rates, suggesting that it may be the  new, young, born-on-th",51,9,0.8448000000000001,2024,pattern_matching,[],,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.834433,4765
36.0,percentage,ai_adoption_rate,retail_ecommerce,"Transport is the sector with the lowest AI adoption rate (36% of enterprises). Though only 40% of enterprises in Europe s finance and insurance sector have adopted AI technologies, 27% plan to do so in the futur",55,4,0.8360000000000001,2024,pattern_matching,[],Transport,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.834500,4859
27.0,percentage,ai_adoption_rate,retail_ecommerce,"Though only 40% of enterprises in Europe s finance and insurance sector have adopted AI technologies, 27% plan to do so in the future, which is a higher share than for any of the other sectors considered.",55,4,0.8360000000000001,2024,pattern_matching,[],Though,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.834503,4863
50.0,number,workforce_augmentation,retail_ecommerce,The survey also targeted two enterprise size classes: medium-sized (50 to 249 employees) and large- sized (more than 250 employees). Data were collected using computer-assisted telephone interviewing (CATI) and computer-,133,11,0.8360000000000001,2024,pattern_matching,[],Data,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.834996,5535
249.0,number,workforce_augmentation,retail_ecommerce,The survey also targeted two enterprise size classes: medium-sized (50 to 249 employees) and large- sized (more than 250 employees). Data were collected using computer-assisted telephone interviewing (CATI) and computer-assisted web inte,133,11,0.8360000000000001,2024,pattern_matching,[],Data,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.834996,5536
250.0,number,workforce_augmentation,retail_ecommerce,The survey also targeted two enterprise size classes: medium-sized (50 to 249 employees) and large- sized (more than 250 employees). Data were collected using computer-assisted telephone interviewing (CATI) and computer-assisted web interviewing (CAWI) techniques between February,133,11,0.8360000000000001,2024,pattern_matching,[],Data,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,2025-07-24T17:20:15.834997,5537
5.0,number,workforce_augmentation,retail_ecommerce,"Data from 233 employees across various industries were analyzed using logistic regression, Random Forest, and XGBoost, with 5-fold cross-validation. The findings reveal that high levels of AI tool usage and integration within organizational workflows significantly enhance pr",0,24,0.8360000000000001,2024,pattern_matching,[],Data,Assessing the Impact of Artificial Intelligence Tools on Employee.pdf,2025-07-24T17:20:04.815781,3546
50.0,number,workforce_augmentation,retail_ecommerce,"Walmart launched a new tool, giving its 50,000 non-store associates access to its new  My Assistant  app. The app has already made a big impact for associates, assisting with a range of tasks,",6,2,0.768,2024,pattern_matching,[],Walmart,AI use case.pdf,2025-07-24T17:20:01.293835,1224
