value,unit,metric_type,sector,context,source_page,source_paragraph,confidence,year,extraction_method,validation_issues,company,source_pdf,extraction_date
2024.0,number,net_employment_change,unknown,2024 International Monetary Fund WP 24 65,1,0,0.5599999999999999,2024,pattern_matching,[],International Monetary Fund,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763279
65.0,number,net_employment_change,unknown,2024 International Monetary Fund WP 24 65,1,0,0.5599999999999999,2024,pattern_matching,[],International Monetary Fund,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763284
2024.0,number,ai_implementation_count,unknown,Authorized for distribution by Chris Papageorgiou March 2024,1,4,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],Authorized,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763285
23.0,number,ai_implementation_count,unknown,"JEL Classification Numbers: J23, K23, L5, O33",1,8,0.44799999999999995,2024,pattern_matching,['Missing required context keywords'],Classification Numbers,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763285
1956.0,number,ai_implementation_count,unknown,"Professor John McCarthy, one of the organizers of the 1956 Dartmouth research project that started AI as",3,9,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],Professor John,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763286
2007.0,number,ai_implementation_count,unknown,1,3,10,0.44799999999999995,2024,pattern_matching,['Missing required context keywords'],,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763287
2.0,number,ai_implementation_count,unknown,"2,3 Broadly, we cover empirical studies focusing on either ML applications",3,13,0.7,2024,pattern_matching,[],Broadly,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763288
3.0,number,ai_implementation_count,unknown,"2,3 Broadly, we cover empirical studies focusing on either ML applications",3,13,0.7,2024,pattern_matching,[],Broadly,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763289
2022.0,number,ai_implementation_count,unknown,"excluding gen-AI ( pre-gen-AI , until late 2022) or on the latest gen-AI and LLMs ( post-gen-AI,",3,14,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763290
1.0,number,job_creation,manufacturing,"1The original document coining the term AI was the 1955 proposal for the Darthmouth Research Project coauthored by McCarthy, Minsky, Rochester and Shan",3,31,0.6080000000000001,2024,pattern_matching,['Missing required context keywords'],Darthmouth Research Project,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763290
1955.0,number,job_creation,manufacturing,"1The original document coining the term AI was the 1955 proposal for the Darthmouth Research Project coauthored by McCarthy, Minsky, Rochester and Shannon, see http:  jmc.",3,31,0.6080000000000001,2024,pattern_matching,['Missing required context keywords'],Darthmouth Research Project,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763291
2.0,number,job_creation,manufacturing,"pdf 2ML studies how computer agents can improve their perception, knowledge, thinking, or actions based on experience or data. 3LLMs are broadly defined as",3,31,0.6080000000000001,2024,pattern_matching,['Missing required context keywords'],,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763292
3.0,number,ai_patents_filed,manufacturing,3LLMs are broadly defined as neural networks that learns context and meaning by tracking relationships in sequential data. See https:  www.nvidia.com e,3,31,0.76,2024,pattern_matching,[],,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763293
4.0,number,job_creation,manufacturing,4See O Shaughnessy (2022) and also Appendix A.1,3,31,0.4864000000000001,2024,pattern_matching,['Missing required context keywords'],Shaughnessy,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763294
0.0,number,ai_implementation_count,unknown,"In this discussion, we also include estimates of",4,26,0.44799999999999995,2024,pattern_matching,['Missing required context keywords'],,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763294
6.8,percentage,ai_adoption_rate,unknown,"In this discussion, we also include estimates of",4,26,0.44799999999999995,2024,pattern_matching,['Missing required context keywords'],,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763295
2.0,number,job_creation,unknown,Section 2 focuses on the potential effects of AI on the labor,5,24,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],Section,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763296
2.1,number,job_displacement,unknown,1 The Task Framework of Automation and Empirical Studies on Robots,6,10,0.7,2024,pattern_matching,[],The Task Framework,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763297
1.0,number,job_displacement,unknown,1 The Task Framework of Automation and Empirical Studies on Robots,6,10,0.7,2024,pattern_matching,[],The Task Framework,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763298
50.0,percentage,ai_adoption_rate,unknown,"When applied to the data, this framework explains 50% of the labor share declines across US",6,26,0.44799999999999995,2024,pattern_matching,"['Missing required context keywords', 'Outlier compared to other adoption rates']",When,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763298
50.0,number,ai_implementation_count,unknown,"When applied to the data, this framework explains 50% of the labor share declines across US",6,26,0.5599999999999999,2024,pattern_matching,['Missing required context keywords'],When,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763299
1987.0,number,ai_implementation_count,unknown,,6,27,0.44799999999999995,2024,pattern_matching,['Missing required context keywords'],,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763300
2016.0,number,ai_implementation_count,unknown,,6,27,0.44799999999999995,2024,pattern_matching,['Missing required context keywords'],,wpiea2024231-print-pdf.pdf,2025-07-24T17:20:41.763301
